tweet_id,creation_date
,
1336808189677940736,Wed Dec 09 23:01:23 +0000 2020
1329488407307956231,Thu Nov 19 18:15:11 +0000 2020
1364194604459900934,Tue Feb 23 12:45:13 +0000 2021
1375938799247765515,Sat Mar 27 22:32:28 +0000 2021
1361038049556140034,Sun Feb 14 19:42:12 +0000 2021
1365287445114322946,Fri Feb 26 13:07:47 +0000 2021
,
1413367208537989123,Fri Jul 09 05:19:36 +0000 2021
,
,
,
1370598530298081282,Sat Mar 13 04:52:08 +0000 2021
1353976833302212608,Tue Jan 26 08:03:27 +0000 2021
1364401704712757250,Wed Feb 24 02:28:10 +0000 2021
,
,
1309326947693080580,Fri Sep 25 03:00:45 +0000 2020
1371181661384110082,Sun Mar 14 19:29:18 +0000 2021
1316838664815640576,Thu Oct 15 20:29:38 +0000 2020
,
1395404298222198786,Thu May 20 15:41:24 +0000 2021
1290177152948695040,Mon Aug 03 06:46:18 +0000 2020
,
1370183450964135937,Fri Mar 12 01:22:46 +0000 2021
1345361992392056833,Sat Jan 02 13:31:09 +0000 2021
,
1350518313298833413,Sat Jan 16 19:00:31 +0000 2021
1376964721409196032,Tue Mar 30 18:29:07 +0000 2021
1352684348038733824,Fri Jan 22 18:27:34 +0000 2021
1378390548025839618,Sat Apr 03 16:54:50 +0000 2021
1356609834435702784,Tue Feb 02 14:26:03 +0000 2021
,
1428558559529234437,Fri Aug 20 03:24:36 +0000 2021
1334576497173164032,Thu Dec 03 19:13:26 +0000 2020
1326040082587869185,Tue Nov 10 05:52:46 +0000 2020
,
,
1299409840134123522,Fri Aug 28 18:13:42 +0000 2020
,
1355295211690348546,Fri Jan 29 23:22:13 +0000 2021
,
,
1303734841993818118,Wed Sep 09 16:39:43 +0000 2020
1337411300859781122,Fri Dec 11 14:57:56 +0000 2020
1340737166671028228,Sun Dec 20 19:13:44 +0000 2020
1232474465142882305,Wed Feb 26 01:16:25 +0000 2020
1303102943747551233,Mon Sep 07 22:48:46 +0000 2020
,
1388640907180838912,Sat May 01 23:46:06 +0000 2021
1352931747793670145,Sat Jan 23 10:50:39 +0000 2021
,
1262598953788338176,Tue May 19 04:20:23 +0000 2020
1342315718415552512,Fri Dec 25 03:46:20 +0000 2020
1325840834940563458,Mon Nov 09 16:41:02 +0000 2020
1363871279418335238,Mon Feb 22 15:20:27 +0000 2021
1364515802238640128,Wed Feb 24 10:01:33 +0000 2021
1292535871086964741,Sun Aug 09 18:59:00 +0000 2020
1257696325543407617,Tue May 05 15:39:05 +0000 2020
1374930325818667009,Thu Mar 25 03:45:09 +0000 2021
1438312424474509312,Thu Sep 16 01:22:59 +0000 2021
1255428543720361985,Wed Apr 29 09:27:44 +0000 2020
1272868521823830016,Tue Jun 16 12:27:59 +0000 2020
1296602531339149312,Fri Aug 21 00:18:27 +0000 2020
1355514933358723076,Sat Jan 30 13:55:19 +0000 2021
1375470458406105089,Fri Mar 26 15:31:26 +0000 2021
1347245479499804675,Thu Jan 07 18:15:27 +0000 2021
,
,
,
,
,
,
,
,
1389617970192683011,Tue May 04 16:28:36 +0000 2021
1350134723834687488,Fri Jan 15 17:36:17 +0000 2021
,
,
1372167405330436101,Wed Mar 17 12:46:17 +0000 2021
1320321287529680896,Sun Oct 25 11:08:19 +0000 2020
1344226977092423681,Wed Dec 30 10:21:00 +0000 2020
1333147879490326529,Sun Nov 29 20:36:37 +0000 2020
,
,
1340329073621516292,Sat Dec 19 16:12:07 +0000 2020
1338975802717855745,Tue Dec 15 22:34:42 +0000 2020
,
1346982779490344961,Thu Jan 07 00:51:35 +0000 2021
1364858912382595073,Thu Feb 25 08:44:57 +0000 2021
1346682618750898184,Wed Jan 06 04:58:51 +0000 2021
1355509629174878211,Sat Jan 30 13:34:14 +0000 2021
1371783133343932421,Tue Mar 16 11:19:20 +0000 2021
1365441366508011520,Fri Feb 26 23:19:25 +0000 2021
,